,id,relid,year,type_of_violence,country,country_id,fatality_best_estimate,gwnoa,gwnob,conflict_event,iso
80776,347337,DRC-2020-3-934-47,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-01-12 00:00:00.000,COD
80777,325408,DRC-2020-3-934-0,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-01-20 00:00:00.000,COD
80778,332713,DRC-2020-3-934-3,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-01 00:00:00.000,COD
80779,332700,DRC-2020-3-934-2,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-10 00:00:00.000,COD
80780,332749,DRC-2020-3-934-4,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-14 00:00:00.000,COD
80781,332779,DRC-2020-3-934-5,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-16 00:00:00.000,COD
80782,332893,DRC-2020-3-934-6,2020,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2020-02-20 00:00:00.000,COD
80783,332898,DRC-2020-3-934-7,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-23 00:00:00.000,COD
80784,332943,DRC-2020-3-934-9,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-24 00:00:00.000,COD
80785,333204,DRC-2020-3-934-10,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-24 00:00:00.000,COD
80786,332918,DRC-2020-3-934-8,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-02-27 00:00:00.000,COD
80787,336487,DRC-2020-3-934-11,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-01 00:00:00.000,COD
80788,336501,DRC-2020-3-934-12,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-09 00:00:00.000,COD
80789,336533,DRC-2020-3-934-16,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-27 00:00:00.000,COD
80790,339188,DRC-2020-3-934-17,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-03-27 00:00:00.000,COD
80791,339273,DRC-2020-3-934-20,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-03 00:00:00.000,COD
80792,339222,DRC-2020-3-934-18,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-05 00:00:00.000,COD
80793,339264,DRC-2020-3-934-19,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-07 00:00:00.000,COD
80794,339307,DRC-2020-3-934-22,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-12 00:00:00.000,COD
80795,339333,DRC-2020-3-934-23,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-04-17 00:00:00.000,COD
80796,342583,DRC-2020-3-934-26,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-02 00:00:00.000,COD
80797,342612,DRC-2020-3-934-28,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-04 00:00:00.000,COD
80798,342637,DRC-2020-3-934-29,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-04 00:00:00.000,COD
80799,342757,DRC-2020-3-934-32,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-06 00:00:00.000,COD
80800,342574,DRC-2020-3-934-24,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-07 00:00:00.000,COD
80801,342638,DRC-2020-3-934-30,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-08 00:00:00.000,COD
80802,342777,DRC-2020-3-934-34,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-14 00:00:00.000,COD
80803,342759,DRC-2020-3-934-33,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-17 00:00:00.000,COD
80804,342639,DRC-2020-3-934-31,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-21 00:00:00.000,COD
80805,342597,DRC-2020-3-934-27,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-21 00:00:00.000,COD
80806,346332,DRC-2020-3-934-40,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-05-24 00:00:00.000,COD
80807,346250,DRC-2020-3-934-36,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-08 00:00:00.000,COD
80808,346299,DRC-2020-3-934-38,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-15 00:00:00.000,COD
80809,346710,DRC-2020-3-934-44,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-17 00:00:00.000,COD
80810,346681,DRC-2020-3-934-43,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-06-17 00:00:00.000,COD
80811,346615,DRC-2020-3-934-42,2020,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2020-06-23 00:00:00.000,COD
80812,348397,DRC-2020-3-934-48,2020,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2020-06-23 00:00:00.000,COD
80813,405538,DRC-2020-3-934-96,2020,3.0,DR Congo (Zaire),490.0,13.0,490.0,,2020-06-25 00:00:00.000,COD
80814,348507,DRC-2020-3-934-49,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-07-21 00:00:00.000,COD
80815,348866,DRC-2020-3-934-54,2020,3.0,DR Congo (Zaire),490.0,13.0,490.0,,2020-07-30 00:00:00.000,COD
80816,352917,DRC-2020-3-934-57,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-04 00:00:00.000,COD
80817,349153,DRC-2020-3-934-55,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-06 00:00:00.000,COD
80818,352937,DRC-2020-3-934-59,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-13 00:00:00.000,COD
80819,352888,DRC-2020-3-934-56,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-08-15 00:00:00.000,COD
80820,352933,DRC-2020-3-934-58,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-08-29 00:00:00.000,COD
80821,358477,DRC-2020-3-934-65,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-09-05 00:00:00.000,COD
80822,358506,DRC-2020-3-934-67,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-09-08 00:00:00.000,COD
80823,358515,DRC-2020-3-934-68,2020,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2020-09-12 00:00:00.000,COD
80824,365051,DRC-2020-3-934-80,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-09-23 00:00:00.000,COD
80825,364722,DRC-2020-3-934-74,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-09-28 00:00:00.000,COD
80826,358350,DRC-2020-3-934-62,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-09-29 00:00:00.000,COD
80827,358424,DRC-2020-3-934-63,2020,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2020-10-01 00:00:00.000,COD
80828,405549,DRC-2020-3-934-97,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-10-01 00:00:00.000,COD
80829,365027,DRC-2020-3-934-79,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-03 00:00:00.000,COD
80830,364703,DRC-2020-3-934-70,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-04 00:00:00.000,COD
80831,358474,DRC-2020-3-934-64,2020,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2020-10-05 00:00:00.000,COD
80832,364708,DRC-2020-3-934-71,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-06 00:00:00.000,COD
80833,365009,DRC-2020-3-934-78,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-06 00:00:00.000,COD
80834,364710,DRC-2020-3-934-72,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-11 00:00:00.000,COD
80835,364718,DRC-2020-3-934-73,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-10-14 00:00:00.000,COD
80836,364724,DRC-2020-3-934-75,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-16 00:00:00.000,COD
80837,364780,DRC-2020-3-934-76,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-23 00:00:00.000,COD
80838,364802,DRC-2020-3-934-77,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-10-30 00:00:00.000,COD
80839,370372,DRC-2020-3-934-82,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-11-08 00:00:00.000,COD
80840,370561,DRC-2020-3-934-83,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-11-26 00:00:00.000,COD
80841,374849,DRC-2020-3-934-88,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-12-09 00:00:00.000,COD
80842,375024,DRC-2020-3-934-89,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-12-21 00:00:00.000,COD
80843,375025,DRC-2020-3-934-90,2020,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2020-12-22 00:00:00.000,COD
80844,375067,DRC-2020-3-934-91,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-12-23 00:00:00.000,COD
80845,375166,DRC-2020-3-934-93,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-12-29 00:00:00.000,COD
80846,375172,DRC-2020-3-934-94,2020,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2020-12-31 00:00:00.000,COD
80847,375180,DRC-2021-3-934-0,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-01-08 00:00:00.000,COD
80848,384875,DRC-2021-3-934-5,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-01-19 00:00:00.000,COD
80849,380090,DRC-2021-3-934-1,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-01-23 00:00:00.000,COD
80850,380095,DRC-2021-3-934-2,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-01-24 00:00:00.000,COD
80851,380110,DRC-2021-3-934-4,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-01-31 00:00:00.000,COD
80852,384882,DRC-2021-3-934-6,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-02-08 00:00:00.000,COD
80853,384886,DRC-2021-3-934-7,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-02-11 00:00:00.000,COD
80854,384991,DRC-2021-3-934-8,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-02-13 00:00:00.000,COD
80855,390635,DRC-2021-3-934-14,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-02-27 00:00:00.000,COD
80856,391229,DRC-2021-3-934-18,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-09 00:00:00.000,COD
80857,390249,DRC-2021-3-934-9,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-03-10 00:00:00.000,COD
80858,390262,DRC-2021-3-934-10,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-13 00:00:00.000,COD
80859,390576,DRC-2021-3-934-11,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-20 00:00:00.000,COD
80860,390587,DRC-2021-3-934-12,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-20 00:00:00.000,COD
80861,390592,DRC-2021-3-934-13,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-21 00:00:00.000,COD
80862,391947,DRC-2021-3-934-20,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-03-24 00:00:00.000,COD
80863,394872,DRC-2021-3-934-23,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-04 00:00:00.000,COD
80864,394874,DRC-2021-3-934-24,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-06 00:00:00.000,COD
80865,394876,DRC-2021-3-934-25,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-09 00:00:00.000,COD
80866,392191,DRC-2021-3-934-21,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-09 00:00:00.000,COD
80867,395080,DRC-2021-3-934-26,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-21 00:00:00.000,COD
80868,395082,DRC-2021-3-934-27,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-04-21 00:00:00.000,COD
80869,395099,DRC-2021-3-934-29,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-28 00:00:00.000,COD
80870,397993,DRC-2021-3-934-30,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-04-30 00:00:00.000,COD
80871,398012,DRC-2021-3-934-31,2021,3.0,DR Congo (Zaire),490.0,7.0,490.0,,2021-05-02 00:00:00.000,COD
80872,398020,DRC-2021-3-934-32,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-03 00:00:00.000,COD
80873,400839,DRC-2021-3-934-34,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-04 00:00:00.000,COD
80874,400851,DRC-2021-3-934-35,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-13 00:00:00.000,COD
80875,400855,DRC-2021-3-934-37,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-05-16 00:00:00.000,COD
80876,400856,DRC-2021-3-934-38,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-16 00:00:00.000,COD
80877,400857,DRC-2021-3-934-39,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-16 00:00:00.000,COD
80878,400861,DRC-2021-3-934-41,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-20 00:00:00.000,COD
80879,401752,DRC-2021-3-934-42,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-21 00:00:00.000,COD
80880,401809,DRC-2021-3-934-43,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-05-31 00:00:00.000,COD
80881,401834,DRC-2021-3-934-44,2021,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2021-06-04 00:00:00.000,COD
80882,410112,DRC-2021-3-934-53,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-06-13 00:00:00.000,COD
80883,405275,DRC-2021-3-934-48,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-06-15 00:00:00.000,COD
80884,406787,DRC-2021-3-934-52,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-06-20 00:00:00.000,COD
80885,410586,DRC-2021-3-934-55,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-03 00:00:00.000,COD
80886,410775,DRC-2021-3-934-60,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-13 00:00:00.000,COD
80887,410776,DRC-2021-3-934-61,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-16 00:00:00.000,COD
80888,410585,DRC-2021-3-934-54,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-21 00:00:00.000,COD
80889,410853,DRC-2021-3-934-63,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-26 00:00:00.000,COD
80890,410784,DRC-2021-3-934-62,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-07-30 00:00:00.000,COD
80891,410589,DRC-2021-3-934-57,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-08-02 00:00:00.000,COD
80892,413349,DRC-2021-3-934-66,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-08-06 00:00:00.000,COD
80893,414235,DRC-2021-3-934-68,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-08-27 00:00:00.000,COD
80894,414822,DRC-2021-3-934-73,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-08-27 00:00:00.000,COD
80895,414826,DRC-2021-3-934-74,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-09-03 00:00:00.000,COD
80896,414833,DRC-2021-3-934-75,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-05 00:00:00.000,COD
80897,414277,DRC-2021-3-934-72,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-05 00:00:00.000,COD
80898,416146,DRC-2021-3-934-79,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-16 00:00:00.000,COD
80899,415944,DRC-2021-3-934-77,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-18 00:00:00.000,COD
80900,416174,DRC-2021-3-934-80,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-09-19 00:00:00.000,COD
80901,416026,DRC-2021-3-934-78,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-29 00:00:00.000,COD
80902,417303,DRC-2021-3-934-82,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-09-29 00:00:00.000,COD
80903,416244,DRC-2021-3-934-81,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-03 00:00:00.000,COD
80904,417487,DRC-2021-3-934-83,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-11 00:00:00.000,COD
80905,419544,DRC-2021-3-934-84,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-27 00:00:00.000,COD
80906,419556,DRC-2021-3-934-85,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-28 00:00:00.000,COD
80907,421029,DRC-2021-3-934-89,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-07 00:00:00.000,COD
80908,423700,DRC-2021-3-934-102,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-08 00:00:00.000,COD
80909,422879,DRC-2021-3-934-91,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-10 00:00:00.000,COD
80910,422883,DRC-2021-3-934-92,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-12 00:00:00.000,COD
80911,422899,DRC-2021-3-934-93,2021,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2021-11-14 00:00:00.000,COD
80912,422903,DRC-2021-3-934-94,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-14 00:00:00.000,COD
80913,423796,DRC-2021-3-934-103,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-14 00:00:00.000,COD
80914,437049,DRC-2021-3-934-111,2021,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2021-11-15 00:00:00.000,COD
80915,422913,DRC-2021-3-934-95,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-16 00:00:00.000,COD
80916,422923,DRC-2021-3-934-96,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-18 00:00:00.000,COD
80917,423118,DRC-2021-3-934-97,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-26 00:00:00.000,COD
80918,423133,DRC-2021-3-934-98,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-28 00:00:00.000,COD
80919,423136,DRC-2021-3-934-99,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-29 00:00:00.000,COD
80920,423142,DRC-2021-3-934-100,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-29 00:00:00.000,COD
80921,423144,DRC-2021-3-934-101,2021,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2021-11-30 00:00:00.000,COD
80922,425044,DRC-2021-3-934-104,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-09 00:00:00.000,COD
80923,425199,DRC-2021-3-934-105,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-24 00:00:00.000,COD
80924,425202,DRC-2021-3-934-106,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-25 00:00:00.000,COD
80925,426179,DRC-2021-3-934-109,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-25 00:00:00.000,COD
80926,425245,DRC-2022-3-934-0,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-01-02 00:00:00.000,COD
80927,425329,DRC-2022-3-934-1,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-03 00:00:00.000,COD
80928,426202,DRC-2022-3-934-2,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-05 00:00:00.000,COD
80929,426210,DRC-2022-3-934-3,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-07 00:00:00.000,COD
80930,426216,DRC-2022-3-934-5,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-08 00:00:00.000,COD
80931,427533,DRC-2022-3-934-6,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-14 00:00:00.000,COD
80932,427685,DRC-2022-3-934-10,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-15 00:00:00.000,COD
80933,427692,DRC-2022-3-934-11,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-01-16 00:00:00.000,COD
80934,436083,DRC-2022-3-934-34,2022,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2022-01-18 00:00:00.000,COD
80935,436087,DRC-2022-3-934-35,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-22 00:00:00.000,COD
80936,436123,DRC-2022-3-934-36,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-01-29 00:00:00.000,COD
80937,430530,DRC-2022-3-934-19,2022,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2022-02-09 00:00:00.000,COD
80938,430375,DRC-2022-3-934-17,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-13 00:00:00.000,COD
80939,429987,DRC-2022-3-934-12,2022,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2022-02-13 00:00:00.000,COD
80940,430378,DRC-2022-3-934-18,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-16 00:00:00.000,COD
80941,430366,DRC-2022-3-934-16,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-24 00:00:00.000,COD
80942,434572,DRC-2022-3-934-27,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-02 00:00:00.000,COD
80943,434573,DRC-2022-3-934-28,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-03 00:00:00.000,COD
80944,434610,DRC-2022-3-934-29,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-04 00:00:00.000,COD
80945,434392,DRC-2022-3-934-24,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-04 00:00:00.000,COD
80946,434494,DRC-2022-3-934-25,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-03-06 00:00:00.000,COD
80947,434092,DRC-2022-3-934-30,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-03-15 00:00:00.000,COD
80948,434507,DRC-2022-3-934-95,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-03-17 00:00:00.000,COD
80949,434382,DRC-2022-3-934-22,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-03-18 00:00:00.000,COD
80950,434535,DRC-2022-3-934-26,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-20 00:00:00.000,COD
80951,434632,DRC-2022-3-934-31,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-22 00:00:00.000,COD
80952,434653,DRC-2022-3-934-32,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-23 00:00:00.000,COD
80953,436129,DRC-2022-3-934-37,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-24 00:00:00.000,COD
80954,434383,DRC-2022-3-934-23,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-27 00:00:00.000,COD
80955,434708,DRC-2022-3-934-33,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-02 00:00:00.000,COD
80956,436166,DRC-2022-3-934-38,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-14 00:00:00.000,COD
80957,436177,DRC-2022-3-934-39,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-17 00:00:00.000,COD
80958,436372,DRC-2022-3-934-41,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-04-17 00:00:00.000,COD
80959,436370,DRC-2022-3-934-40,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-04-18 00:00:00.000,COD
80960,444610,DRC-2022-3-934-67,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80961,440112,DRC-2022-3-934-46,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80962,440113,DRC-2022-3-934-47,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80963,441688,DRC-2022-3-934-50,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-16 00:00:00.000,COD
80964,441695,DRC-2022-3-934-51,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-19 00:00:00.000,COD
80965,441701,DRC-2022-3-934-52,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-20 00:00:00.000,COD
80966,441755,DRC-2022-3-934-54,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-07 00:00:00.000,COD
80967,442475,DRC-2022-3-934-58,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-08 00:00:00.000,COD
80968,441761,DRC-2022-3-934-55,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-09 00:00:00.000,COD
80969,441778,DRC-2022-3-934-56,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-11 00:00:00.000,COD
80970,441799,DRC-2022-3-934-57,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-14 00:00:00.000,COD
80971,442480,DRC-2022-3-934-59,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-26 00:00:00.000,COD
80972,442483,DRC-2022-3-934-60,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-07-01 00:00:00.000,COD
80973,442487,DRC-2022-3-934-61,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-07-08 00:00:00.000,COD
80974,444171,DRC-2022-3-934-63,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-07-10 00:00:00.000,COD
80975,444187,DRC-2022-3-934-64,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-07-14 00:00:00.000,COD
80976,460551,DRC-2022-3-934-120,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-08-02 00:00:00.000,COD
80977,462784,DRC-2022-3-934-127,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-08-02 00:00:00.000,COD
80978,447874,DRC-2022-3-934-70,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-08-30 00:00:00.000,COD
80979,447886,DRC-2022-3-934-71,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-09-03 00:00:00.000,COD
80980,447887,DRC-2022-3-934-72,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-09-04 00:00:00.000,COD
